locus	transcript	obs	exp
1:229568338	ENST00000366684	0	2.1723e-01
1:229568339	ENST00000366684	0	2.1723e-01
1:229568340	ENST00000366684	0	6.5053e-02
1:229568341	ENST00000366684	0	1.1874e-01
1:229568342	ENST00000366684	0	5.8076e-02
1:229568343	ENST00000366684	0	3.7669e-02
1:229568344	ENST00000366684	0	1.3864e-01
1:229568345	ENST00000366684	0	2.3135e-01
1:229568347	ENST00000366684	0	2.1723e-01
1:229568348	ENST00000366684	0	2.1723e-01
1:229568350	ENST00000366684	0	1.2349e-01
1:229568351	ENST00000366684	0	1.7640e+00
1:229568353	ENST00000366684	0	1.2370e-01
1:229568354	ENST00000366684	0	1.2370e-01
1:229568355	ENST00000366684	0	2.1666e-01
1:229568356	ENST00000366684	1	2.3135e-01
1:229568357	ENST00000366684	0	2.3135e-01
1:229568359	ENST00000366684	0	2.1723e-01
1:229568360	ENST00000366684	0	1.2290e+00
1:229568362	ENST00000366684	0	2.1922e-01
1:229568363	ENST00000366684	1	2.1723e-01
1:229568365	ENST00000366684	0	1.2349e-01
1:229568366	ENST00000366684	0	1.7640e+00
1:229568367	ENST00000366684	0	1.7221e-01
1:229568368	ENST00000366684	1	1.1835e-01
1:229568369	ENST00000366684	0	9.9265e-02
1:229568370	ENST00000366684	0	6.5910e-02
1:229568371	ENST00000366684	0	7.6554e-02
1:229568372	ENST00000366684	0	9.4349e-02
1:229568374	ENST00000366684	0	2.6859e-01
1:229568375	ENST00000366684	0	1.0592e-01
1:229568376	ENST00000366684	0	9.2509e-02
1:229568377	ENST00000366684	0	8.1613e-02
1:229568378	ENST00000366684	0	1.1757e-01
1:229568379	ENST00000366684	0	4.2646e-02
1:229568380	ENST00000366684	0	8.7746e-02
1:229568381	ENST00000366684	0	1.1835e-01
1:229568382	ENST00000366684	0	2.1666e-01
1:229568383	ENST00000366684	0	2.3135e-01
1:229568384	ENST00000366684	0	2.3135e-01
1:229568385	ENST00000366684	0	3.1707e-02
1:229568386	ENST00000366684	0	1.3864e-01
1:229568387	ENST00000366684	0	1.3864e-01
1:229568388	ENST00000366684	0	9.2509e-02
1:229568389	ENST00000366684	0	1.1874e-01
1:229568390	ENST00000366684	0	5.8076e-02
1:229568392	ENST00000366684	0	2.6859e-01
1:229568393	ENST00000366684	0	1.0592e-01
1:229568394	ENST00000366684	0	1.5178e-01
1:229568395	ENST00000366684	0	2.3135e-01
1:229568396	ENST00000366684	0	1.3864e-01
1:229568397	ENST00000366684	0	9.2509e-02
1:229568398	ENST00000366684	0	9.4349e-02
1:229568399	ENST00000366684	0	6.2611e-02
1:229568400	ENST00000366684	0	9.2509e-02
1:229568401	ENST00000366684	0	8.1613e-02
1:229568402	ENST00000366684	0	1.1536e+00
1:229568404	ENST00000366684	0	1.2290e+00
1:229568405	ENST00000366684	0	1.3762e+00
1:229568406	ENST00000366684	0	1.2093e-01
1:229568407	ENST00000366684	0	1.1835e-01
1:229568408	ENST00000366684	0	9.9265e-02
1:229568410	ENST00000366684	0	2.1723e-01
1:229568411	ENST00000366684	0	2.1723e-01
1:229568412	ENST00000366684	0	6.5053e-02
1:229568413	ENST00000366684	0	9.4349e-02
1:229568414	ENST00000366684	0	8.5663e-02
1:229568416	ENST00000366684	0	2.1922e-01
1:229568417	ENST00000366684	0	1.8968e-01
1:229568418	ENST00000366684	0	5.9503e-02
1:229568419	ENST00000366684	0	1.5604e-01
1:229568420	ENST00000366684	0	9.9265e-02
1:229568422	ENST00000366684	0	8.1613e-02
1:229568423	ENST00000366684	1	1.8562e-01
1:229568425	ENST00000366684	0	2.1922e-01
1:229568426	ENST00000366684	0	2.1922e-01
1:229568428	ENST00000366684	0	2.1723e-01
1:229568429	ENST00000366684	0	2.1723e-01
1:229568430	ENST00000366684	0	6.5053e-02
1:229568431	ENST00000366684	0	8.1613e-02
1:229568432	ENST00000366684	0	1.1536e+00
1:229568434	ENST00000366684	0	2.6859e-01
1:229568435	ENST00000366684	0	1.2349e-01
1:229568437	ENST00000366684	0	8.1613e-02
1:229568438	ENST00000366684	0	1.7908e-01
1:229568440	ENST00000366684	0	1.1874e-01
1:229568441	ENST00000366684	0	6.5053e-02
1:229568443	ENST00000366684	1	2.6859e-01
1:229568444	ENST00000366684	0	1.2349e-01
1:229568446	ENST00000366684	2	2.1922e-01
1:229568447	ENST00000366684	0	2.1922e-01
1:229568448	ENST00000366684	0	1.2093e-01
1:229568449	ENST00000366684	0	1.2349e-01
1:229568450	ENST00000366684	0	1.7608e-01
1:229568451	ENST00000366684	0	6.3748e-02
1:229568452	ENST00000366684	0	8.1613e-02
1:229568453	ENST00000366684	0	1.5119e-01
1:229568454	ENST00000366684	0	6.5053e-02
1:229568455	ENST00000366684	0	8.1613e-02
1:229568456	ENST00000366684	0	1.1536e+00
1:229568458	ENST00000366684	0	2.1922e-01
1:229568459	ENST00000366684	1	1.8968e-01
1:229568461	ENST00000366684	0	1.7908e-01
1:229568462	ENST00000366684	0	2.1723e-01
1:229568464	ENST00000366684	0	1.2349e-01
1:229568465	ENST00000366684	1	1.7640e+00
1:229568467	ENST00000366684	0	1.2290e+00
1:229568468	ENST00000366684	0	1.2299e+00
1:229568470	ENST00000366684	0	9.4349e-02
1:229568471	ENST00000366684	0	1.7908e-01
1:229568472	ENST00000366684	0	6.3748e-02
1:229568473	ENST00000366684	0	8.1613e-02
1:229568474	ENST00000366684	0	1.1536e+00
1:229568475	ENST00000366684	0	1.7221e-01
1:229568476	ENST00000366684	1	1.1835e-01
1:229568477	ENST00000366684	0	9.9265e-02
1:229568479	ENST00000366684	0	1.2370e-01
1:229568480	ENST00000366684	0	1.0868e-01
1:229568481	ENST00000366684	0	9.2509e-02
1:229568482	ENST00000366684	0	7.6554e-02
1:229568483	ENST00000366684	0	9.4349e-02
1:229568485	ENST00000366684	1	2.6859e-01
1:229568486	ENST00000366684	0	1.2349e-01
1:229568487	ENST00000366684	0	7.8654e-02
1:229568488	ENST00000366684	0	1.2349e-01
1:229568489	ENST00000366684	0	1.5764e-01
1:229568490	ENST00000366684	0	1.2093e-01
1:229568491	ENST00000366684	0	1.2349e-01
1:229568492	ENST00000366684	0	1.7608e-01
1:229568493	ENST00000366684	0	8.9355e-02
1:229568494	ENST00000366684	0	5.8076e-02
1:229568495	ENST00000366684	0	1.1874e-01
1:229568496	ENST00000366684	0	5.3186e-02
1:229568497	ENST00000366684	0	1.3864e-01
1:229568498	ENST00000366684	0	1.3864e-01
1:229568499	ENST00000366684	0	9.2509e-02
1:229568500	ENST00000366684	0	9.4349e-02
1:229568501	ENST00000366684	0	6.2611e-02
1:229568502	ENST00000366684	0	9.2509e-02
1:229568503	ENST00000366684	0	8.1613e-02
1:229568504	ENST00000366684	0	1.5119e-01
1:229568505	ENST00000366684	0	1.5764e-01
1:229568506	ENST00000366684	0	2.3135e-01
1:229568507	ENST00000366684	0	2.3135e-01
1:229568508	ENST00000366684	0	7.8654e-02
1:229568509	ENST00000366684	0	1.0592e-01
1:229568510	ENST00000366684	0	1.5178e-01
1:229568511	ENST00000366684	0	6.4394e-02
1:229568512	ENST00000366684	0	1.3864e-01
1:229568513	ENST00000366684	0	1.8968e-01
1:229568514	ENST00000366684	0	9.2292e-02
1:229568515	ENST00000366684	0	5.8076e-02
1:229568516	ENST00000366684	0	1.1874e-01
1:229568517	ENST00000366684	0	7.5968e-02
1:229568518	ENST00000366684	0	1.1835e-01
1:229568519	ENST00000366684	0	9.9265e-02
1:229568521	ENST00000366684	0	2.6859e-01
1:229568522	ENST00000366684	0	1.2349e-01
1:229568523	ENST00000366684	0	3.1707e-02
1:229568524	ENST00000366684	0	1.3864e-01
1:229568525	ENST00000366684	0	2.3135e-01
1:229568526	ENST00000366684	0	3.1707e-02
1:229568527	ENST00000366684	0	1.3864e-01
1:229568528	ENST00000366684	0	2.3135e-01
1:229568530	ENST00000366684	0	2.1723e-01
1:229568531	ENST00000366684	1	1.3762e+00
1:229568532	ENST00000366684	0	1.7221e-01
1:229568533	ENST00000366684	0	1.2349e-01
1:229568534	ENST00000366684	0	1.7608e-01
1:229568535	ENST00000366684	0	6.3748e-02
1:229568536	ENST00000366684	0	8.1613e-02
1:229568537	ENST00000366684	0	1.1536e+00
1:229568538	ENST00000366684	0	8.1755e-02
1:229568539	ENST00000366684	0	1.3864e-01
1:229568540	ENST00000366684	0	2.1106e-01
1:229568542	ENST00000366684	0	1.8562e-01
1:229568543	ENST00000366684	0	2.1922e-01
1:229568545	ENST00000366684	0	1.2370e-01
1:229568546	ENST00000366684	0	1.2370e-01
1:229568547	ENST00000366684	0	7.5968e-02
1:229568548	ENST00000366684	0	9.4349e-02
1:229568549	ENST00000366684	0	6.2611e-02
1:229568551	ENST00000366684	0	1.1874e-01
1:229568552	ENST00000366684	1	6.5053e-02
1:229568554	ENST00000366684	0	2.6859e-01
1:229568555	ENST00000366684	0	1.0592e-01
1:229568557	ENST00000366684	0	1.1874e-01
1:229568558	ENST00000366684	0	6.5053e-02
1:229568559	ENST00000366684	0	3.7669e-02
1:229568560	ENST00000366684	0	1.3864e-01
1:229568561	ENST00000366684	0	2.1106e-01
1:229568563	ENST00000366684	0	2.6859e-01
1:229568564	ENST00000366684	0	1.8562e-01
1:229568565	ENST00000366684	0	3.5349e-02
1:229568566	ENST00000366684	0	1.7483e-01
1:229568567	ENST00000366684	0	4.6264e-02
1:229568568	ENST00000366684	0	9.2509e-02
1:229568569	ENST00000366684	0	9.4349e-02
1:229568570	ENST00000366684	0	8.5663e-02
1:229568571	ENST00000366684	0	7.4138e-02
1:229568572	ENST00000366684	0	1.7908e-01
1:229568573	ENST00000366684	0	8.1613e-02
1:229568574	ENST00000366684	0	9.2509e-02
1:229568575	ENST00000366684	0	1.1874e-01
1:229568576	ENST00000366684	0	6.5910e-02
1:229568578	ENST00000366684	0	1.7908e-01
1:229568579	ENST00000366684	0	2.1723e-01
1:229568580	ENST00000366684	0	6.5053e-02
1:229568581	ENST00000366684	0	8.1613e-02
1:229568582	ENST00000366684	0	1.1536e+00
1:229568583	ENST00000366684	0	1.7221e-01
1:229568584	ENST00000366684	0	1.0592e-01
1:229568585	ENST00000366684	0	1.2299e+00
1:229568587	ENST00000366684	0	2.1723e-01
1:229568588	ENST00000366684	0	2.1922e-01
1:229568590	ENST00000366684	0	1.2349e-01
1:229568591	ENST00000366684	0	1.7640e+00
1:229568593	ENST00000366684	0	1.2370e-01
1:229568594	ENST00000366684	0	1.0868e-01
1:229568596	ENST00000366684	0	1.8968e-01
1:229568597	ENST00000366684	0	7.6554e-02
1:229568598	ENST00000366684	0	4.1223e-02
1:229568599	ENST00000366684	0	1.3864e-01
1:229568600	ENST00000366684	0	1.7483e-01
1:229568601	ENST00000366684	0	3.6170e-02
1:229568602	ENST00000366684	0	8.7746e-02
1:229568603	ENST00000366684	0	6.2611e-02
1:229568604	ENST00000366684	0	9.2509e-02
1:229568605	ENST00000366684	0	1.1874e-01
1:229568606	ENST00000366684	0	6.5910e-02
1:229568608	ENST00000366684	0	2.6859e-01
1:229568609	ENST00000366684	0	2.1922e-01
1:229568610	ENST00000366684	0	1.5764e-01
1:229568611	ENST00000366684	0	2.3135e-01
1:229568612	ENST00000366684	0	2.1106e-01
1:229568614	ENST00000366684	0	2.6859e-01
1:229568615	ENST00000366684	0	1.3762e+00
1:229568617	ENST00000366684	0	1.0592e-01
1:229568618	ENST00000366684	0	2.6859e-01
1:229568619	ENST00000366684	0	1.5764e-01
1:229568620	ENST00000366684	0	2.3135e-01
1:229568621	ENST00000366684	0	2.3135e-01
1:229568623	ENST00000366684	0	1.0592e-01
1:229568624	ENST00000366684	1	1.7640e+00
1:229568626	ENST00000366684	1	2.1723e-01
1:229568627	ENST00000366684	0	2.1922e-01
1:229568734	ENST00000366684	0	6.5053e-02
1:229568735	ENST00000366684	0	1.1874e-01
1:229568736	ENST00000366684	0	5.8076e-02
1:229568737	ENST00000366684	0	1.2093e-01
1:229568738	ENST00000366684	0	1.2349e-01
1:229568739	ENST00000366684	0	2.1666e-01
1:229568741	ENST00000366684	0	1.2299e+00
1:229568742	ENST00000366684	0	7.9406e-02
1:229568744	ENST00000366684	0	2.1922e-01
1:229568745	ENST00000366684	0	2.1922e-01
1:229568747	ENST00000366684	0	1.2290e+00
1:229568748	ENST00000366684	0	1.3762e+00
1:229568750	ENST00000366684	0	2.1723e-01
1:229568751	ENST00000366684	0	2.1922e-01
1:229568753	ENST00000366684	0	1.2349e-01
1:229568754	ENST00000366684	0	1.7640e+00
1:229568755	ENST00000366684	0	8.1755e-02
1:229568756	ENST00000366684	0	1.3864e-01
1:229568757	ENST00000366684	0	2.3135e-01
1:229568759	ENST00000366684	0	1.8968e-01
1:229568760	ENST00000366684	0	1.0592e-01
1:229568762	ENST00000366684	0	1.3762e+00
1:229568763	ENST00000366684	0	2.1922e-01
1:229568764	ENST00000366684	0	7.6160e-02
1:229568765	ENST00000366684	0	7.6554e-02
1:229568766	ENST00000366684	0	1.1835e-01
1:229568768	ENST00000366684	0	1.2349e-01
1:229568769	ENST00000366684	0	1.7640e+00
1:229568771	ENST00000366684	0	8.9355e-02
1:229568772	ENST00000366684	0	2.1723e-01
1:229568773	ENST00000366684	0	9.2292e-02
1:229568774	ENST00000366684	0	1.8562e-01
1:229568775	ENST00000366684	0	9.2691e-02
1:229568777	ENST00000366684	0	1.8562e-01
1:229568778	ENST00000366684	0	2.1922e-01
1:229568780	ENST00000366684	1	2.1723e-01
1:229568781	ENST00000366684	1	1.2290e+00
1:229568782	ENST00000366684	0	1.7221e-01
1:229568783	ENST00000366684	0	1.0592e-01
1:229568784	ENST00000366684	0	1.5178e-01
1:229568785	ENST00000366684	0	6.4394e-02
1:229568786	ENST00000366684	0	1.3864e-01
1:229568787	ENST00000366684	0	1.8968e-01
1:229568789	ENST00000366684	0	2.1922e-01
1:229568790	ENST00000366684	0	1.3762e+00
1:229568792	ENST00000366684	0	2.1723e-01
1:229568793	ENST00000366684	0	1.2290e+00
1:229568794	ENST00000366684	0	1.5802e-01
1:229568795	ENST00000366684	0	7.6554e-02
1:229568796	ENST00000366684	0	9.4349e-02
1:229568798	ENST00000366684	0	2.1723e-01
1:229568799	ENST00000366684	0	1.3762e+00
1:229568801	ENST00000366684	0	2.1723e-01
1:229568802	ENST00000366684	0	1.7908e-01
1:229568803	ENST00000366684	0	3.6170e-02
1:229568804	ENST00000366684	0	8.7746e-02
1:229568805	ENST00000366684	0	6.2611e-02
1:229568807	ENST00000366684	0	1.2349e-01
1:229568808	ENST00000366684	0	2.6859e-01
1:229568810	ENST00000366684	0	1.1874e-01
1:229568811	ENST00000366684	0	6.5053e-02
1:229568813	ENST00000366684	0	2.1723e-01
1:229568814	ENST00000366684	0	1.3762e+00
1:229568816	ENST00000366684	0	1.8968e-01
1:229568817	ENST00000366684	0	8.1613e-02
1:229568819	ENST00000366684	0	2.1723e-01
1:229568820	ENST00000366684	0	1.5764e-01
1:229568821	ENST00000366684	0	6.4394e-02
1:229568822	ENST00000366684	0	1.5604e-01
1:229568823	ENST00000366684	0	9.9265e-02
1:229568824	ENST00000366684	0	7.8654e-02
1:229568825	ENST00000366684	0	1.0592e-01
1:229568826	ENST00000366684	0	1.2299e+00
1:229568827	ENST00000366684	0	5.8777e-02
1:229568828	ENST00000366684	0	1.7608e-01
1:229568829	ENST00000366684	0	1.2349e-01
1:229568831	ENST00000366684	0	1.2349e-01
1:229568832	ENST00000366684	0	1.7640e+00
1:229568834	ENST00000366684	0	8.1613e-02
1:229568835	ENST00000366684	0	1.8562e-01
1:229568837	ENST00000366684	0	2.1723e-01
1:229568838	ENST00000366684	0	1.2290e+00
1:229568840	ENST00000366684	0	2.6859e-01
1:229568841	ENST00000366684	0	1.2349e-01
1:229568843	ENST00000366684	0	2.6859e-01
1:229568844	ENST00000366684	1	1.0592e-01
1:229568845	ENST00000366684	0	9.2509e-02
1:229568846	ENST00000366684	0	8.1613e-02
1:229568847	ENST00000366684	0	1.1536e+00
1:229568848	ENST00000366684	0	1.7221e-01
1:229568849	ENST00000366684	0	1.0592e-01
1:229568850	ENST00000366684	0	1.7483e-01
1:229568851	ENST00000366684	0	3.6170e-02
1:229568852	ENST00000366684	0	7.6554e-02
1:229568853	ENST00000366684	0	1.1536e+00
1:229568854	ENST00000366684	0	1.7221e-01
1:229568855	ENST00000366684	0	1.0592e-01
1:229568856	ENST00000366684	0	1.2299e+00
1:229568857	ENST00000366684	0	5.8777e-02
1:229568858	ENST00000366684	1	1.7608e-01
1:229568859	ENST00000366684	0	1.2349e-01
